Date,Issuer,Symbol, Managers,OfferP,OpeningP,FirstDayClose,ScoopStars,txtfile
4/17/2019,Palomar Holdings ,PLMR,"Barclays/ J.P. Morgan/ Keefe, Woods & Bruyette (A Stifel Company)",$15.00 ,$18.50 ,$18.99 ,2,0001047469-19-002321.txt
4/18/2019,HOOKIPA Pharma ,HOOK,BofA Merrill Lynch/ SVB Leerink/ RBC Capital Markets,$14.00 ,$14.30 ,$14.00 ,2,0001047469-19-002394.txt
5/3/2019,SciPlay,SCPL,BofA Merrill Lynch/ J.P. Morgan/ Deutsche Bank Securities,$16.00 ,$18.00 ,$15.25 ,2,0001047469-19-002860.txt
5/9/2019,Axcella Health ,AXLA,Goldman Sachs/ J.P. Morgan/ SVB Leerink,$20.00 ,$15.12 ,$13.80 ,2,0001047469-19-002985.txt
5/9/2019,Milestone Pharmaceuticals ,MIST,Jefferies/ Cowen/ Piper Jaffray,$15.00 ,$15.61 ,$16.37 ,2,0001047469-19-002987.txt
5/9/2019,NextCure,NXTC,"Morgan Stanley/ BofAMerrill Lynch, Pierce/ Piper Jaffray",$15.00 ,$15.50 ,$19.90 ,2,0001047469-19-002988.txt
5/14/2019,Applied Therapeutics ,APLT,Citigroup/ Cowen/ UBS Investment Bank,$10.00 ,$8.04 ,$9.40 ,1,0001047469-19-003094.txt
5/17/2019,Luckin Coffee ,LK,Credit Suisse/ Morgan Stanley/ CICC/ Haitong Internationa,$17.00 ,$25.00 ,$20.38 ,3,0001047469-19-003174.txt
5/23/2019,Bicycle Therapeutics Limited ,BCYC,Goldman Sachs/ Jefferies/ Piper Jaffray,$14.00 ,$13.37 ,$12.00 ,2,0001047469-19-003291.txt
6/12/2019,CrowdStrike Holdings ,CRWD,Goldman Sachs/ J.P. Morgan/ BofA Merrill Lynch/ Barclays,$34.00 ,$63.30 ,$58.00 ,4,0001047469-19-003607.txt
6/13/2019,Fiverr International  ,FVRR,J.P. Morgan Securities/ Citigroup,$21.00 ,$26.00 ,$39.90 ,2,0001047469-19-003639.txt
6/20/2019,Akero Therapeutics ,AKRO,J.P. Morgan/ Jefferies/ Evercore ISI,$16.00 ,$16.16 ,$18.32 ,2,0001047469-19-003757.txt
6/20/2019,Atreca ,BCEL,Cowen/ Evercore ISI/ Stifel,$17.00 ,$19.90 ,$18.05 ,1,0001047469-19-003758.txt
6/25/2019,Linx S.A. ,LINX,Goldman Sachs/ Morgan Stanley/ Jefferies/ BofA Merrill Lynch/ Itaú BBA,$9.40 ,$9.30 ,$9.09 ,0,0001047469-19-003913.txt
7/17/2019,DouYu International Holdings ,DOYU,Morgan Stanley/ J.P. Morgan/ BofA Merrill Lynch/ CMBI,$11.50 ,$11.02 ,$11.50 ,1,0001047469-19-004260.txt
